Model,Accuracy,Precision,Recall,F1,AUC-ROC
Logistic Regression,0.7390643274853801,0.49394003827344246,0.527355278093076,0.51010101010101,0.7259068832680111
Decision Tree,0.7047076023391813,0.4454968287526427,0.5979568671963678,0.5105888054276714,0.7358959795856601
Random Forest,0.7757602339181286,0.5887937743190661,0.42939841089670827,0.4966196258615031,0.741746857982555
XGBoost,0.7399122807017544,0.496330829664163,0.6525539160045403,0.5638209189427745,0.7918907047784415
MLP,0.7397953216374269,0.4958577678488318,0.6046538024971623,0.5448780238326599,0.7681135735421858
